"Rk","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","Year"
1,"James Harden",30,"HOU","SG",68,68,36.5,9.9,22.3,0.444,4.4,12.4,0.355,5.5,9.9,0.556,0.543,10.2,11.8,0.865,1,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3,1,2020
2,"Bradley Beal",26,"WAS","SG",57,57,36,10.4,22.9,0.455,3,8.4,0.353,7.4,14.4,0.515,0.52,6.8,8,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,0,2020
3,"Damian Lillard",29,"POR","PG",66,66,37.5,9.5,20.4,0.463,4.1,10.2,0.401,5.4,10.2,0.524,0.563,7,7.8,0.888,0.5,3.8,4.3,8,1.1,0.3,2.9,1.7,30,1,2020
4,"Trae Young",21,"ATL","PG",60,60,35.3,9.1,20.8,0.437,3.4,9.5,0.361,5.7,11.4,0.501,0.519,8,9.3,0.86,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6,0,2020
5,"Giannis Antetokounmpo",25,"MIL","PF",63,63,30.4,10.9,19.7,0.553,1.4,4.7,0.304,9.5,15,0.631,0.589,6.3,10,0.633,2.2,11.4,13.6,5.6,1,1,3.7,3.1,29.5,1,2020
6,"Luka Dončić",20,"DAL","PG",61,61,33.6,9.5,20.6,0.463,2.8,8.9,0.316,6.7,11.7,0.574,0.531,7,9.2,0.758,1.3,8.1,9.4,8.8,1,0.2,4.3,2.5,28.8,1,2020
7,"Kyrie Irving",27,"BRK","PG",20,20,32.9,10,20.8,0.478,2.8,7.1,0.394,7.2,13.7,0.522,0.546,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4,0,2020
8,"Russell Westbrook",31,"HOU","PG",57,57,35.9,10.6,22.5,0.472,1,3.7,0.258,9.6,18.7,0.514,0.493,5.1,6.7,0.763,1.8,6.2,7.9,7,1.6,0.4,4.5,3.5,27.2,1,2020
9,"Kawhi Leonard",28,"LAC","SF",57,57,32.4,9.3,19.9,0.47,2.2,5.7,0.378,7.2,14.2,0.506,0.524,6.2,7.1,0.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2,27.1,1,2020
10,"Devin Booker",23,"PHO","SG",70,70,35.9,9,18.3,0.489,2,5.7,0.354,6.9,12.6,0.549,0.544,6.7,7.3,0.919,0.4,3.8,4.2,6.5,0.7,0.3,3.8,3,26.6,0,2020
11,"Karl-Anthony Towns",24,"MIN","C",35,35,33.9,9,17.8,0.508,3.3,7.9,0.412,5.8,9.9,0.586,0.6,5.1,6.5,0.796,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3,26.5,0,2020
12,"Anthony Davis",26,"LAL","PF",62,62,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.546,0.536,7.2,8.5,0.846,2.3,7,9.3,3.2,1.5,2.3,2.5,2.5,26.1,1,2020
13,"Zach LaVine",24,"CHI","SF",60,60,34.8,9,20,0.45,3.1,8.1,0.38,5.9,11.9,0.497,0.526,4.5,5.6,0.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,25.5,0,2020
14,"LeBron James",35,"LAL","PG",67,67,34.6,9.6,19.4,0.493,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,1,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3,1,2020
